Season,Time,Denom,Indoors,Outdoors,Frac_Indoors,Frac_Outdoors
Dry,18,70,23,47,0.328571429,0.671428571
Dry,19,75,30,45,0.4,0.6
Dry,20,77,38,39,0.493506494,0.506493506
Dry,21,79,55,24,0.696202532,0.303797468
Dry,22,82,71,11,0.865853659,0.134146341
Dry,23,83,79,4,0.951807229,0.048192771
Dry,24,84,82,2,0.976190476,0.023809524
Dry,1,84,82,2,0.976190476,0.023809524
Dry,2,84,82,2,0.976190476,0.023809524
Dry,3,84,82,2,0.976190476,0.023809524
Dry,4,84,82,2,0.976190476,0.023809524
Dry,5,82,72,10,0.87804878,0.12195122
Dry,6,79,43,36,0.544303797,0.455696203
Wet,18,75,35,40,0.466666667,0.533333333
Wet,19,79,44,35,0.556962025,0.443037975
Wet,20,81,50,31,0.617283951,0.382716049
Wet,21,82,64,18,0.780487805,0.219512195
Wet,22,83,79,4,0.951807229,0.048192771
Wet,23,84,83,1,0.988095238,0.011904762
Wet,24,84,83,1,0.988095238,0.011904762
Wet,1,84,83,1,0.988095238,0.011904762
Wet,2,84,83,1,0.988095238,0.011904762
Wet,3,84,83,1,0.988095238,0.011904762
Wet,4,84,83,1,0.988095238,0.011904762
Wet,5,83,81,2,0.975903614,0.024096386
Wet,6,81,74,7,0.913580247,0.086419753
