species,year,hour,indoor_bite_rate,outdoor_bite_rate
gambiae,2015,18,0.29,0.5
gambiae,2015,19,0.33,0.49
gambiae,2015,20,0.32,0.47
gambiae,2015,21,0.33,0.45
gambiae,2015,22,0.3,0.4
gambiae,2015,23,0.27,0.38
gambiae,2015,24,0.25,0.25
gambiae,2015,1,0.2,0.2
gambiae,2015,2,0.2,0.21
gambiae,2015,3,0.19,0.2
gambiae,2015,4,0.22,0.24
gambiae,2015,5,0.18,0.17
gambiae,2017,18,0.28,0.4
gambiae,2017,19,0.42,0.6
gambiae,2017,20,0.47,0.65
gambiae,2017,21,0.66,0.82
gambiae,2017,22,0.6,0.72
gambiae,2017,23,0.5,0.6
gambiae,2017,24,0.45,0.53
gambiae,2017,1,0.44,0.45
gambiae,2017,2,0.45,0.47
gambiae,2017,3,0.3,0.58
gambiae,2017,4,0.31,0.47
gambiae,2017,5,0.1,0.2
funestus,2015,18,0.1,0.1
funestus,2015,19,0.1,0.1
funestus,2015,20,0.1,0.1
funestus,2015,21,0.1,0.1
funestus,2015,22,0.1,0.1
funestus,2015,23,0.1,0.1
funestus,2015,24,0.1,0.1
funestus,2015,1,0.1,0.1
funestus,2015,2,0.1,0.1
funestus,2015,3,0.1,0.1
funestus,2015,4,0.1,0.1
funestus,2015,5,0.1,0.1
funestus,2017,18,0.01,0.15
funestus,2017,19,0.2,0.25
funestus,2017,20,0.55,0.3
funestus,2017,21,0.95,0.6
funestus,2017,22,0.4,1.23
funestus,2017,23,0.7,1.75
funestus,2017,24,0.5,1
funestus,2017,1,0.7,1.35
funestus,2017,2,0.5,1.3
funestus,2017,3,0.4,0.83
funestus,2017,4,0.25,0.25
funestus,2017,5,0,0.2
