,LL,arabiensis_scale,catch,funestus_scale,path,rank
0,3.477062114,9.190094842,Chichuco,10.74494368,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chichuco_pop0_hs0_imp0_NMF80_20180503_141656\955\1c5\c2e\9551c5c2-e54e-e811-a2bf-c4346bcb7274,0
1,3.477062114,9.190094842,Chichuco,10.74494368,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chichuco_pop0_hs0_imp0_NMF80_20180503_121028\94a\2dd\2bc\94a2dd2b-cc4e-e811-a2bf-c4346bcb7274,1
2,3.477046534,8.962725593,Chichuco,10.77093261,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chichuco_pop0_hs0_imp0_NMF80_20180503_121028\9a0\994\68c\9a099468-cb4e-e811-a2bf-c4346bcb7274,2
3,3.472559183,8.78587641,Chichuco,10.84030332,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chichuco_pop0_hs0_imp0_NMF80_20180503_141656\1f5\2c5\c2e\1f52c5c2-e54e-e811-a2bf-c4346bcb7274,3
4,3.472371543,8.95196553,Chichuco,10.8438462,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chichuco_pop0_hs0_imp0_NMF80_20180503_121028\a10\994\68c\a1099468-cb4e-e811-a2bf-c4346bcb7274,4
5,3.683402189,9.239829306,Chicutso,10.1544575,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chicutso_pop0_hs0_imp0_HFCA__20180501_040557\181\75b\a4f\18175ba4-f64c-e811-a2bf-c4346bcb7274,0
6,3.683402189,9.239829306,Chicutso,10.1544575,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chicutso_pop0_hs0_imp0_HFCA__20180501_030408\18c\b15\87f\18cb1587-f14c-e811-a2bf-c4346bcb7274,1
7,3.683374774,9.23943619,Chicutso,10.45284057,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chicutso_pop0_hs0_imp0_HFCA__20180501_014439\089\ba8\83e\089ba883-e24c-e811-a2bf-c4346bcb7274,2
8,3.683294308,9.139584195,Chicutso,10.43452453,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chicutso_pop0_hs0_imp0_HFCA__20180501_030408\a15\80e\3ef\a1580e3e-f14c-e811-a2bf-c4346bcb7274,3
9,3.683106292,9.248395325,Chicutso,10.27196499,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Chicutso_pop0_hs0_imp0_HFCA__20180501_030408\a75\80e\3ef\a7580e3e-f14c-e811-a2bf-c4346bcb7274,4
10,3.567940453,8.953162139,Magude-Sede-Facazissa,10.87463679,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Magude-Sede-Facazissa_pop0_h_20180503_071329\4dd\562\59b\4dd56259-ba4e-e811-a2bf-c4346bcb7274,0
11,3.551493842,9.433258048,Magude-Sede-Facazissa,10.83964025,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Magude-Sede-Facazissa_pop0_h_20180503_071329\194\09b\5fb\19409b5f-ba4e-e811-a2bf-c4346bcb7274,1
12,3.550355755,9.382199341,Magude-Sede-Facazissa,10.87151603,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Magude-Sede-Facazissa_pop0_h_20180502_224001\731\513\025\73151302-5b4e-e811-a2bf-c4346bcb7274,2
13,3.550355755,9.382199341,Magude-Sede-Facazissa,10.87151603,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Magude-Sede-Facazissa_pop0_h_20180502_201746\0cb\394\784\0cb39478-474e-e811-a2bf-c4346bcb7274,3
14,3.550301564,9.200840658,Magude-Sede-Facazissa,10.87141017,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Magude-Sede-Facazissa_pop0_h_20180503_071329\d13\f9b\5fb\d13f9b5f-ba4e-e811-a2bf-c4346bcb7274,4
15,3.669120728,9.402799076,Mahel,9.831222272,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mahel_pop0_hs0_imp0_HFCA_ite_20180501_034704\845\e3e\4ef\845e3e4e-f34c-e811-a2bf-c4346bcb7274,0
16,3.669120728,9.402799076,Mahel,9.831222272,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mahel_pop0_hs0_imp0_HFCA_ite_20180501_042702\a0c\c70\4df\a0cc704d-f84c-e811-a2bf-c4346bcb7274,1
17,3.669120728,9.402799076,Mahel,9.831222272,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mahel_pop0_hs0_imp0_HFCA_ite_20180501_044616\0b4\480\ecf\0b4480ec-fb4c-e811-a2bf-c4346bcb7274,2
18,3.669120728,9.402799076,Mahel,9.831222272,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mahel_pop0_hs0_imp0_HFCA_ite_20180501_065731\58c\c16\540\58cc1654-0d4d-e811-a2bf-c4346bcb7274,3
19,3.668750955,9.63659913,Mahel,10.25084936,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mahel_pop0_hs0_imp0_HFCA_ite_20180501_022055\462\c6c\58e\462c6c58-e74c-e811-a2bf-c4346bcb7274,4
20,3.671668348,10.02918154,Mapulanguene,10.63818335,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mapulanguene_pop0_hs0_imp0_H_20180501_035753\8c3\0ed\72f\8c30ed72-f44c-e811-a2bf-c4346bcb7274,0
21,3.671668348,10.02918154,Mapulanguene,10.63818335,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mapulanguene_pop0_hs0_imp0_H_20180501_025601\182\784\9cf\1827849c-f04c-e811-a2bf-c4346bcb7274,1
22,3.671668348,10.02918154,Mapulanguene,10.63818335,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mapulanguene_pop0_hs0_imp0_H_20180501_044211\69e\2c6\7cf\69e2c67c-fb4c-e811-a2bf-c4346bcb7274,2
23,3.671668348,10.02918154,Mapulanguene,10.63818335,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mapulanguene_pop0_hs0_imp0_H_20180501_051555\ec6\3be\020\ec63be02-004d-e811-a2bf-c4346bcb7274,3
24,3.671448936,10.21670291,Mapulanguene,10.52622694,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Mapulanguene_pop0_hs0_imp0_H_20180501_025601\1ea\e98\aff\1eae98af-f04c-e811-a2bf-c4346bcb7274,4
25,3.602747046,9.145752729,Moine,10.59247606,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Moine_pop0_hs0_imp0_HFCA_ite_20180501_153029\e84\d7e\f75\e84d7ef7-544d-e811-a2bf-c4346bcb7274,0
26,3.602747046,9.145752729,Moine,10.59247606,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Moine_pop0_hs0_imp0_HFCA_ite_20180501_160418\bc9\792\ad5\bc9792ad-594d-e811-a2bf-c4346bcb7274,1
27,3.601877265,9.472941371,Moine,10.36965659,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Moine_pop0_hs0_imp0_HFCA_ite_20180501_051713\833\4cf\1a0\8334cf1a-004d-e811-a2bf-c4346bcb7274,2
28,3.599212282,9,Moine,10.57318782,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Moine_pop0_hs0_imp0_HFCA_ite_20180501_144727\c6e\1c5\f34\c6e1c5f3-4e4d-e811-a2bf-c4346bcb7274,3
29,3.599212282,9,Moine,10.57318782,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Moine_pop0_hs0_imp0_HFCA_ite_20180501_153029\c74\d7e\f75\c74d7ef7-544d-e811-a2bf-c4346bcb7274,4
30,3.385638119,9.842814535,Motaze,10.53152719,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Motaze_pop0_hs0_imp0_HFCA_it_20180501_181517\675\a7d\fd6\675a7dfd-6b4d-e811-a2bf-c4346bcb7274,0
31,3.385638119,9.842814535,Motaze,10.53152719,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Motaze_pop0_hs0_imp0_HFCA_it_20180501_155335\b6b\e9f\355\b6be9f35-584d-e811-a2bf-c4346bcb7274,1
32,3.385638119,9.842814535,Motaze,10.53152719,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Motaze_pop0_hs0_imp0_HFCA_it_20180501_165722\f4e\283\1e6\f4e2831e-614d-e811-a2bf-c4346bcb7274,2
33,3.385638119,9.842814535,Motaze,10.53152719,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Motaze_pop0_hs0_imp0_HFCA_it_20180501_190911\a75\574\897\a7557489-734d-e811-a2bf-c4346bcb7274,3
34,3.373621349,9.711913683,Motaze,10.61355884,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Motaze_pop0_hs0_imp0_HFCA_it_20180501_190911\9c5\574\897\9c557489-734d-e811-a2bf-c4346bcb7274,4
35,3.669360503,10.36743599,Panjane-Caputine,10.61453536,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Panjane-Caputine_pop0_hs0_im_20180501_123411\558\302\5c3\5583025c-3c4d-e811-a2bf-c4346bcb7274,0
36,3.667260404,10.43624368,Panjane-Caputine,10.50822696,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Panjane-Caputine_pop0_hs0_im_20180501_112404\cc3\06a\cf3\cc306acf-334d-e811-a2bf-c4346bcb7274,1
37,3.667260404,10.43624368,Panjane-Caputine,10.50822696,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Panjane-Caputine_pop0_hs0_im_20180501_123411\958\302\5c3\9583025c-3c4d-e811-a2bf-c4346bcb7274,2
38,3.667260404,10.43624368,Panjane-Caputine,10.50822696,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Panjane-Caputine_pop0_hs0_im_20180501_095451\555\0c6\762\5550c676-294d-e811-a2bf-c4346bcb7274,3
39,3.667260404,10.43624368,Panjane-Caputine,10.50822696,\\internal.idm.ctr\IDM\Home\jsuresh\output\Calib_Panjane-Caputine_pop0_hs0_im_20180501_084505\e69\75e\e51\e6975ee5-1c4d-e811-a2bf-c4346bcb7274,4
